Medical Equipment,Services,Kode RS,Hospital Name,City/Regency,Province,Year,Volume
Ablasi 3D,Cardiovascular,3273015,Rumah Sakit Umum Pusat Dr. Hasan Sadikin Bandung,City of Bandung,West Java,2024,1
Ablasi 3D,Cardiovascular,8171123,Rumah Sakit Umum Pusat Dr. Johannes Leimena Ambon,City of Ambon,Maluku,2026,1
Air warming blanket,MotherChild,1101015,Rumah Sakit Umum Daerah Simeulue,Simeulue,Aceh,2025,1
Air warming blanket,MotherChild,1102016,Rumah Sakit Umum Daerah Aceh Singkil,Aceh Singkil,Aceh,2025,1
Air warming blanket,MotherChild,1102027,Rumah Sakit Umum Daerah Kota Subulussalam,City of Subulussalam,Aceh,2025,1
Air warming blanket,MotherChild,1103010,Rumah Sakit Umum Daerah Dr. H. Yulidin Away,Aceh Selatan,Aceh,2024,1
Air warming blanket,MotherChild,1104011,Rumah Sakit Umum Daerah H. Sahudin Kutacane,Aceh Tenggara,Aceh,2024,1
Air warming blanket,MotherChild,1105056,Rumah Sakit Umum Daerah dr. Zubir Mahmud,Aceh Timur,Aceh,2025,1
Air warming blanket,MotherChild,1107014,Rumah Sakit Umum Daerah Cut Nyak Dhien,Aceh Barat,Aceh,2024,1
Air warming blanket,MotherChild,1108015,Rumah Sakit Umum Daerah Kabupaten Aceh Besar,Aceh Besar,Aceh,2025,1
Air warming blanket,MotherChild,1109016,Rumah Sakit Umum Daerah TGK Chik Ditiro Sigli,Pidie,Aceh,2024,1
Air warming blanket,MotherChild,1110075,Rumah Sakit Umum Daerah Dr. Fauziah Bireun,Bireuen,Aceh,2024,1
Air warming blanket,MotherChild,1112011,Rumah Sakit Umum Daerah Teungku Peukan,Aceh Barat Daya,Aceh,2025,1
Air warming blanket,MotherChild,1113012,Rumah Sakit Umum Muhammad Ali Kasim,Gayo Lues,Aceh,2025,1
Air warming blanket,MotherChild,1114011,Rumah Sakit Umum Daerah Muda Sedia Kabupaten Aceh Tamiang,Aceh Tamiang,Aceh,2025,1
Air warming blanket,MotherChild,1115012,Rumah Sakit Umum Daerah Sultan Iskandar Muda Nagan Raya,Nagan Raya,Aceh,2025,1
Air warming blanket,MotherChild,1116011,Rumah Sakit Umum Daerah Teuku Umar Kabupaten Aceh Jaya,Aceh Jaya,Aceh,2025,1
